laminopathy	laminopathie
cytokine	cytokine
cicutoxin	cicutoxine
placebo	placebo 
rhinoceros	neushoorns
calibration	kalibreren
annelid	ringwormen
cholecalciferol	cholecalciferol
craniotomy	craniotomie
triglyceride	triacylglycerol
masterpiece	meesterwerk
lycurgus 	lycurgus 
sclera	sclera
electrolyte	elektrolyt
electrocardiography	elektrocardiogram
lung	long 
azotemia	azotemie
hemocyanin	hemocyanine
pakistan	pakistan
generation	generatie 
valve	ventiel 
affect 	affect
electrolyte	elektrolyt
x-ray	röntgenstraling
malaise	malaise
axolotl	axolotl
hormesis	hormese
uranium	uranium
broadband	breedband
metamizole	metamizol
prokaryote	prokaryoten
scabies	schurft 
tamsulosin	tamsulosine
etanercept	etanercept
vaccination	inenting
ultraviolet	ultraviolet
ebola	ebola
hydroperoxyl	waterstofsuperoxide
erythropoiesis	erytropoëse
lanthanide	lanthanide
transmittance	transmissie 
ubiquitin	ubiquitine
schistosoma	schistosoma
endorphins	endorfine
carboxylate	carboxylaatgroep
cauterization	cauterisatie
z-test	z-toets
aromatase	aromatase
suspension 	suspensie 
scalp	hoofdhuid
catabolism	katabolisme
ibm	ibm
litre	liter
strain 	stam 
cypermethrin	cypermetrine
nitrile	nitril
atlas 	atlas 
ergine	ergine
fatigue	fatigue
kallawaya	kallawaya
coma	coma 
esophagogastroduodenoscopy	gastroscopie
hypotension	hypotensie
phosphate	fosfaat
tachypnea	tachypnoe
optimism	optimisme
caribbean	caraïben
ischemia	ischemie
sacrum	heiligbeen
salbutamol	salbutamol
genus	geslacht 
flood	overstroming
brunei	brunei
gabapentin	gabapentine
nucleotide	nucleotide
fahrenheit	fahrenheit
hangover	kater 
self-awareness	zelfbewustzijn
garden	tuin
chemotherapy	chemotherapie
duck	eenden
bronchus	luchtpijpvertakking
cryptanalysis	cryptoanalyse
demography	demografie
insulin 	insulinetherapie
production 	productie
warfarin	warfarine
sambo 	sambo
louse	dierluizen
clonidine	clonidine
somalia	somalië
colophon 	colophon
gallstone	galsteen
lacosamide	lacosamide
fructosamine	fructosamine
protamine	protamine
vulcano	vulcano 
obesity	obesitas
particle	deeltje
pride	trots
sacrum	heiligbeen
heart	hart
carcinoma	carcinoom
sedative	sedativum
witherite	witheriet
firocoxib	firocoxib
hospital	ziekenhuis
respirator	ademhalingsbeschermingsmasker
electrolyte	elektrolyt
maintenance 	onderhoud
tafluprost	tafluprost
taoism	taoïsme
diagnosis	diagnose
reduction 	reduceren 
amyloidosis	amyloïdose
cervix	baarmoederhals
forearm	onderarm
1,1,1-trichloroethane	1,1,1-trichloorethaan
constipation	constipatie
moclobemide	moclobemide
lithium 	lithium 
tetracycline	tetracycline
śrauta	shrauta
calorie	calorie
particulates	fijnstof
coccyx	stuit
charaka	charaka
rudaki	rudaki
superphénix	superphénix
acetanilide	acetanilide
dismemberment	vierendeling
phonophobia	fonofobie
cardiomyopathy	cardiomyopathie
unesco	unesco
polycarbonate	polycarbonaat
lambert 	lambert 
encoding 	inprenting 
reptile	reptielen
hermaphrodite	tweeslachtigheid
pravastatin	pravastatine
uniformitarianism	uniformitarianisme
midazolam	midazolam
tracheotomy	tracheotomie
medtronic	medtronic
ramlila	ramlila
millisecond	milliseconde
calabria	calabrië
splenomegaly	splenomegalie
allergy	allergie
proteolysis	proteolyse
iminium	iminium
bilirubin	bilirubine
maggot	made 
interdisciplinarity	interdisciplinariteit
reinforcement	bekrachtiging
saxony	saksen 
liver	lever
cachexia	cachexie
physiology	fysiologie
photometer	lichtmeter
amlodipine	amlodipine
chives	bieslook
atrium 	atrium 
hematology	hematologie
trachea	luchtpijp
acromegaly	acromegalie
jellyfish	kwallen
imagination	verbeeldingskracht
tablet 	tablet
syndrome 	syndrome
antibody	immunoglobuline
rumen	pens
pethidine	pethidine
blackburn	blackburn 
breastfeeding	borstvoeding
carcinogen	carcinogeen
biotechnology	biotechnologie
phosphorylation	fosforylering
qiyan	qiyan
switzerland	zwitserland
glycolonitrile	glycolnitril
vasodilation	vasodilatatie
cocaine	cocaïne
pulmonology	pulmonologie
skutterudite	skutterudiet
stethoscope	stethoscoop
unicum	unicum 
milan	milaan 
radionuclide	radionuclide
polio	poliomyelitis
pontefract	pontefract
finswimming	vinzwemmen
devi	devi 
disulfiram	disulfiram
volunteering	vrijwilligerswerk
7-dehydrocholesterol	7-dehydrocholesterol
medicine	geneeskunde
cider	cider
nirvana 	nirvana 
aquifer	aquifer
pathogen	pathogeen
memory	geheugen 
pyrrolidine	pyrrolidine
acetone	aceton
baghdad	bagdad
bedale	bedale
hermetica	hermetica
abc 	abcde-methode
solidarity	solidariteit 
asclepeion	asklepieion
humorism	humores
craniotomy	craniotomie
hyperuricemia	hyperurikemie
arachnid	spinachtigen
vegetable	groente
potassium	kalium
maryland	maryland
neurology	neurologie
hippocras	hipocras
eggnog	eggnog
misoprostol	misoprostol
stenosis	stenose
simvastatin	simvastatine
giresun	giresun 
superfood	superfood
glycyrrhizin	glycyrrizinezuur
tachycardia	tachycardie
microscopy	microscopie
spironolactone	spironolacton
polyphenol	polyfenol
pessimism	pessimisme
fluorescence	fluorescentie
eponym	eponiem
photodermatitis	fotocontactallergie
routledge	routledge 
diltiazem	diltiazem
propiverine	propiverine
levofloxacin	levofloxacine
pubchem	pubchem
hemoglobin	hemoglobine
amitraz	amitraz
himalayas	himalaya
mifepristone	mifepriston
clitellata	clitellata
afamelanotide	afamelanotide
halite	haliet
americas	amerika 
kinshasa	kinshasa
coagulopathy	stollingsstoornis
capecitabine	capecitabine
pneumonia	longontsteking
medicare 	medicare
acetonitrile	acetonitril
bayer	bayer
health	gezondheid
mylan	mylan
nantes	nantes
brucine	brucine
fish	vissen 
neurotransmitter	neurotransmitters
évian-les-bains	évian-les-bains
himera	himera
benzothiazole	benzothiazool
chickenpox	waterpokken
mahabharata	mahabharata
phoenicia	fenicië
tsipouro	tsipouro
akrai	akrai
vertigo	draaiduizeligheid
edema	oedeem
knidos	cnidus
infarction	infarct
louvre	louvre
biomimetics	biomimetica
hypocapnia	hypocapnie
monocyte	monocyt
14-methoxymetopon	14-methoxymetopon
detonation	detonatie
fairphone	fairphone
amgen	amgen
contentment	tevredenheid
diltiazem	diltiazem
dosha	dosha
insect	insecten
cryptosporidium	cryptosporidium
edema	oedeem
etoglucid	tri-ethyleenglycoldiglycidylether
carbenoxolone	carbenoxolon
anuradhapura	anuradhapura 
phenytoin	fenytoïne
marzipan	marsepein
cellulitis	cellulitis 
socrates	socrates 
flux 	flux 
vitruvius	vitruvius 
sensodyne	sensodyne
troponin	troponine
yorkshire	yorkshire
particulates	fijnstof
hamartoma	hamartoom
christianity	christendom
erythropoietin	erytropoëtine
al-sijzi	al-sijzi
ciclosporin	ciclosporine
business	bedrijf
pneumonia	longontsteking
tauopathy	tauopathie
joule	joule
nerve	zenuw
fever	koorts
insulin	insuline
hospital	ziekenhuis
apathy	apathie
bilirubin	bilirubine
coelom	coeloom
lecce	lecce 
kainite	kaïniet
inhalation	inademing
wikiversity	wikiversity
francium	francium
bohrium	bohrium
jupiter 	jupiter 
acceleration	versnelling 
invertebrate	ongewervelden
pramana	pramana
catfish	meervalachtigen
chemistry	scheikunde
holi	holi-phagwa
openehr	openehr
dysarthria	dysartrie
raltegravir	raltegravir
object 	object 
epitestosterone	epitestosteron
miosis	miose
stellarator	stellarator
orthomyxoviridae	orthomyxoviridae
fungus	schimmels
gallbladder	galblaas
probiotic	probioticum
topology	topologie
ester	ester 
vaishnavism	vaishnavisme
heart 	heart
frog	kikkers
cryoglobulinemia	cryoglobulinemie
copperbelt	kopergordel
hypertension	hypertensie
coagulation	bloedstolling
perspiration	zweten
epithelium	epitheel
asphyxia	verstikking
esophagogastroduodenoscopy	gastroscopie
coagulase	coagulase
tetraodontidae	kogelvissen
kerala	kerala
roehampton	roehampton
heart 	heart 
joule	joule
echinococcosis	echinokokkose
praxiteles	praxiteles
prussia	pruisen
montelukast	montelukast
lung	long 
hectare	hectare
ligand 	ligand 
atheroma	plaque 
cryotherapy	cryotherapie
piritramide	piritramide
theobromine	theobromine
donepezil	donepezil
turbidity	troebelheid
puruṣārtha	purushartha
ladakh	ladakh
tea	thee 
reserpine	reserpine
apoptosis	apoptose
variance	variantie
dermatophyte	dermatofyt
lymphadenopathy	lymfadenopathie
nephrology	nefrologie
carfentanil	carfentanil
chondrichthyes	kraakbeenvissen
scheelite	scheeliet
knee	knie 
ephedra 	ephedra
actin	actine
hexanol	hexanol
famine	hongersnood
diol	diol
comorbidity	comorbiditeit
gastroenteritis	buikgriep
hypertension	hypertensie
antispasmodic	spasmolyticum
pubis 	schaambeen
cigarette	sigaret
vertebra	wervel 
athanor	athanor
oligomenorrhea	oligomenorroe
chromatography	chromatografie
animal	dierenrijk
polymer	polymeer
epaminondas	epaminondas
diastole	diastole 
holmium	holmium
titin	titine
ferdowsi	ferdowsi
hematuria	hematurie
4-methylthioamphetamine	4-methylthioamfetamine
disease	ziekte
etiology	etiologie
peritoneum	buikvlies
paronychia	paronychia
aconitum	monnikskap
shahnameh	sjahnama
homeostasis	homeostase 
martyr	martelaar
sagunto	sagunto
vaccine	vaccin
sweetness	zoet 
extraction 	extractie 
androstenedione	androsteendion
hyperthyroidism	thyreotoxicose
spline 	spline
hyperalgesia	hyperalgesie
glasgow	glasgow
sensitization	sensitisatie
reflex	reflex 
edema	oedeem
methylphenidate	methylfenidaat
melamine	melamine
chloroplast	chloroplast
grog	grog
moxibustion	moxibustie
hypotension	hypotensie
walking	lopen
paracelsus 	paracelsus 
bariatrics	bariatrie
sodalite	sodaliet
gastroenteritis	buikgriep
glucuronidation	glucuronidering
aldehyde	aldehyde
equivalent 	val 
hygiene	hygiëne
papyrus	papyrus 
olanzapine	olanzapine
inotrope	inotropie
prostaglandin	prostaglandinen
ampere	ampère 
irbesartan	irbesartan
halal	halal
osteoarthritis	artrose
mammography	mammogram
enema	klysma
isoleucine	isoleucine
astronomy	astronomie
denver	denver
oviparity	oviparie
biomarker	biomarker
confusion	verwardheid
al-farabi	al-farabi
maitotoxin	maitotoxine
iphone	iphone
khwarazm	chorasmië
pericarditis	pericarditis
abulia	aboulie
hypoglycemia	hypoglykemie
histone	histon 
enzyme	enzym
urology	urologie
brahmana	brahmana 
group 	groep 
hydrostatics	hydrostatica
weakness	asthenie
cognac	cognac 
saponification	verzeping
phenytoin	fenytoïne
humiliation	vernedering
graphene	grafeen
otorhinolaryngology	otorinolaryngologie
prolactinoma	prolactinoom
electromagnetism	elektromagnetisme
chop 	chop
pharmacovigilance	medicatiebewaking
bacchylides	bacchylides
mittelschmerz	mittelschmerz
cannabinoid	cannabinoïde
drama 	dramafilm
carbamazepine	carbamazepine
onion	ui 
clobazam	clobazam
lymphangioleiomyomatosis	lymfangioleiomyomatose
gas	gas 
sappho	sappho
calcinosis	calcinose
almagest	almagest
meta-analysis	meta-analyse
glass	glas
magnetite	magnetiet
agranulocyte	agranulocyt
saskatchewan	saskatchewan
gain 	versterkingsfactor
kalanchoe	kalanchoë
microcirculation	microcirculatie
medscape	medscape
gangrene	gangreen
carbuncle	karbonkel 
xenopus	klauwkikkers
stimulant	stimulantia
glycolysis	glycolyse
diarrhea	diarree
statcoulomb	statcoulomb
n,n-dimethyltryptamine	dimethyltryptamine
sound	geluid
astringent	adstringentia
ephedra 	ephedra
coagulation	bloedstolling
caduceus	caduceus
guṇa	guna 
entheogen	entheogeen
lenzie	lenzie
aljaraque	aljaraque
cardiology	cardiologie
suda	suda
noscapine	noscapine
epithelium	epitheel
ptosis 	ptose 
checklist	checklist 
chromatin	chromatine
hunan	hunan
drag 	stromingsweerstand
β-carotene	bètacaroteen
glycoside	glycoside
cuvette	cuvet
myocarditis	myocarditis
retrovirus	retrovirussen
humorism	humores
parkinsonism	parkinsonisme
indigestion	dyspepsie
alprazolam	alprazolam
gynecomastia	gynaecomastie
nocardia	nocardia
brahma	brahma 
particulates	fijnstof
narcotic	drug
angiotensin	angiotensine
cholesterol	cholesterol
disease	ziekte
myocarditis	myocarditis
tolnaftate	tolnaftaat
stridor	stridor
particulates	fijnstof
hemodynamics	hemodynamiek
antifungal	antimycoticum
amphoterism	amfoteer
medication	geneesmiddel
behavior	gedrag
tritium	tritium
graph 	graaf 
dissection 	dissectie 
thessaly	thessalië
melusine	melusine
neptunite	neptuniet
acceptance	aanvaarding
kilogram	kilogram
apollonia 	apollonia 
kyōgen	kyogen
keloid	keloïd
1,4-thiazepine	1,4-thiazepine
gravity	zwaartekracht
diphtheria	difterie
asana	asana
cholecystitis	cholecystitis
hermetica	hermetica
inositol	inositol
unisys	unisys
resource	bestaansmiddelen
wilderness	wildernis 
dextran	dextraan
leucine	leucine
ddt	dichloordifenyltrichloorethaan
indication 	indicatie 
tofu	tofoe
vermouth	vermout
ergine	ergine
üsküdar	üsküdar
coolant	koelmiddel
scabies	schurft 
fexofenadine	fexofenadine
taste	smaakzin
tripelennamine	tripelennamine
psoriasis	psoriasis
auscultation	auscultatie
fibrinogen	fibrinogeen
fabaceae	vlinderbloemenfamilie
hemolithin	hemolithine
antibiotic	antibioticum
soju	soju
biofilm	biofilm
ventricle 	ventrikel 
crayfish	rivierkreeften
monosomy	monosomie
primate	primaten
poaching	wildstroperij
otorhinolaryngology	otorinolaryngologie
shoulder	schouder
hyperglycemia	hyperglykemie
lycoris 	lycoris 
lung	long 
bremsstrahlung	remstraling
chersonesus	chersonesos 
furazolidone	furazolidon
percentile	percentiel
schwaz	schwaz 
strychnine	strychnine
hives	netelroos
glycogenolysis	glycogenolyse
bronchus	luchtpijpvertakking
axon	axon
microsleep	microslaap
liposuction	liposuctie
chlorprothixene	chloorprotixeen
erysipeloid	erysipeloid
dextromethorphan	dextromethorfan
endosulfan	endosulfan
psychonautics	psychonaut
domperidone	domperidon
testosterone	testosteron
esophagus	slokdarm
mountain	berg 
computability	berekenbaarheid
minoxidil	minoxidil
digitalis	vingerhoedskruid 
parmenides	parmenides
gais	gais 
śramaṇa	shramanisme
lactose	lactose
morus 	moerbei
coevolution	co-evolutie
fibromyalgia	fibromyalgie
cobalt	kobalt
vertebra	wervel 
limb 	ledemaat
abscess	abces
arrhythmia	hartritmestoornis
apollonia 	apollonia 
ear	oor
finswimming	vinzwemmen
feeling	gevoel
tampon	tampon 
flemish	vlaams
medicine	geneeskunde
profiling 	profiler
rainforest	regenwoud
aluminium	aluminium
science	wetenschap
serum 	serum
menthol	menthol
hemoglobin	hemoglobine
sacrum	heiligbeen
envy	nijd
troponin	troponine
agonist	agonist 
renaissance	renaissance
acid	zuur 
biotite	biotiet
auscultation	auscultatie
anise	anijs
shiatsu	shiatsu
ulm	ulm 
neutropenia	neutropenie
methamphetamine	methamfetamine
author	auteur
odor	geur
osteosarcoma	osteosarcoom
nonmetal	niet-metaal
5-meo-dmt	5-meo-dmt
dynamite	dynamiet
exhalation	uitademing
numerology	numerologie
batumi	batoemi
pythagoras	pythagoras
dell	dell
oxidase	oxidase
nephron	nefron
piroxicam	piroxicam
mephedrone	mefedron
monogamy	monogamie
acetyl-coa	acetyl-coa
terbium	terbium
polysaccharide	polysacharide
hesy-ra	hesire
ranolazine	ranolazine
nicander	nicander
hinduism	hindoeïsme
lipophilicity	lipofiel
hypertrichosis	hypertrichose
oseltamivir	oseltamivir
laboratory	laboratorium
hyperhomocysteinemia	hyperhomocysteïnemie
moon	maan
dextran	dextraan
ultraviolet	ultraviolet
hyperammonemia	hyperammoniëmie
commandaria	commandaria
ventricle 	ventrikel 
sharia	sharia
solubility	oplosbaarheid
lung	long 
epirus 	epirus 
contracture	contractuur 
aesthetics	esthetica
primer 	primer 
hand	hand
gnome	kabouter
babesiosis	babesiosis
gallbladder	galblaas
japan	japan
speech	spraak
allotropy	allotropie
stegosaurus	stegosaurus
determinism	determinisme 
ligand 	ligand 
micronutrient	micronutriënt
tolterodine	tolterodine
prosecco	prosecco
dizziness	duizeligheid
micrometre	micrometer 
anastomosis	anastomose
eleusis	elefsina
vedas	veda's
epiglottitis	epiglottitis
bifidobacterium	bifidobacterium
biopolymer	biopolymeer
cancer	kanker
encephalopathy	encefalopathie
epithelium	epitheel
pyridoxine	pyridoxine
ketamine	ketamine
vedanta	vedanta
weltschmerz	weltschmerz
kashrut	kasjroet
zygote	zygote
hospital	ziekenhuis
kama	kama 
arrhythmia	hartritmestoornis
lansoprazole	lansoprazol
cardiolipin	cardiolipine
kalam	kalam 
toxin	toxine
receptor 	receptor 
elf	elf 
shandy	shandy
antioxidant	antioxidant
wavenumber	golfgetal
cardiology	cardiologie
adrenaline	adrenaline
barnidipine	barnidipine
arsenate	arsenaat
epithelium	epitheel
rage 	razernij
speakeasy	speakeasy
pergamon	pergamon
hydrography	hydrografie
5α-reductase	5-alfa-reductase
actinomycetota	straalzwammen
barotrauma	barotrauma
cirrhosis	cirrose
deoxyribose	desoxyribose
avicenna	avicenna
chess	schaken
colonisation 	kolonisatie 
hypovolemia	hypovolemie
confusion	verwardheid
endomysium	endomysium
virilization	virilisatie
perry	perenwijn
procaine	procaïne
arm	arm 
aplysia	aplysia
halogen	halogeen
neurotensin	neurotensine
wound	wond
thoracentesis	pleurapunctie
cytogenetics	cytogenetica
yellow-tail	donsvlinder
hashish	hasjiesj
safranin	safranine
cartilage	kraakbeen
fear	angst
diffraction	diffractie
bradykinin	bradykinine
sugilite	sugiliet
treponema	treponema
hermetica	hermetica
methylnaltrexone	methylnaltrexon
atlas 	atlas 
genistein	genisteïne
pleasure	genot
glycoside	glycoside
pope	paus
stipule	steunblaadje
dutasteride	dutasteride
malabsorption	malabsorptie
pneumonectomy	pneumectomie
therapy	therapie
fungus	schimmels
gynaecology	gynaecologie
alembic	alambiek
al-biruni	al-biruni
ftsz	ftsz
pediatrics	pediatrie
thesis	scriptie
soil	bodem
pottery	pottenbakken
fibroblast	fibroblast
ayurveda	ayurveda
calvados	calvados 
lithium 	lithiumtherapie
sutra	soetra
reading	lezen
sclerosis 	sclerose
fascia	fascie 
solution 	oplossing 
hydrogen	waterstof 
cilium	trilhaar
pittsburgh	pittsburgh
philadelphia	philadelphia 
diethylstilbestrol	di-ethylstilbestrol
tremie	betonkubel
bruise	kneuzing
spirometry	spirometrie
epithelium	epitheel
apeldoorn	apeldoorn 
entrez	entrez
delusion	waan
serology	serologie
arrhythmia	hartritmestoornis
cava 	cava
england	engeland
burial	begrafenis
triazole	triazool
hypotonia	spierhypotonie
metformin	metformine
germany	duitsland
humorism	humores
food	levensmiddel
statin	statine
bronchodilatation	bronchodilatatie
contract	overeenkomst 
ascites	ascites 
woodcut	houtsnede
2,3,7,8-tetrachlorodibenzodioxin	2,3,7,8-tetrachloordibenzo-p-dioxine
honey	honing
nauka 	naoeka 
arsphenamine	arsfenamine
dream	droom
riboflavin	riboflavine
procymidone	procymidon
astrochemistry	astrochemie
electrophysiology	elektrofysiologie
missionary	missionaris
adoration	aanbidding
covid-19	covid-19
carbon-14	koolstof-14
paronychia	paronychia
electromagnet	elektromagneet
loneliness	eenzaamheid
myofibril	myofibril
delusion	waan
anesthetic	anesthetica
emphysema	emfyseem
mdma	mdma
drop 	druppel
bile	gal 
eflornithine	eflornithine
snooker	snooker
catastrophism	catastrofisme
astrology	astrologie
hypertension	hypertensie
tetraethyllead	tetra-ethyllood
grappa	grappa 
spider	spinnen 
smartphone	smartphone
antifungal	antimycoticum
oocyte	oöcyt
cyrenaica	cyrenaica
euphoria	euforie
corticosteroid	corticosteroïden
follicle 	kokervrucht
israel	israël
shiva	shiva
font	lettertype
desalination	ontziltingsinstallatie
irrigation	irrigatie
bacillota	firmicutes
systole	systole 
becquerel	becquerel 
herrerasaurus	herrerasaurus
crispr	crispr
well	waterput
emphysema	emfyseem
rhizome	wortelstok
apocynaceae	maagdenpalmfamilie
tongba	tongba
sugar	tafelsuiker
rectum	endeldarm
flower	bloem 
hypnotherapy	hypnotherapie
tønsberg	tønsberg
speculum 	speculum 
temozolomide	temozolomide
audition	auditie
nocardiosis	nocardiose
xanthine	xanthine
translation 	translatie 
banana	banaan 
leech	bloedzuigers
thrombolysis	trombolyse
morocco	marokko
palygorskite	palygorskiet
cristobalite	cristobaliet
sherry	sherry
aminoglycoside	aminoglycosiden
hexokinase	hexokinase
phosphate	fosfaat
qazvin	qazvin
tampere	tampere
soundscape	geluidslandschap
ddt	dichloordifenyltrichloorethaan
realgar	realgaar
citalopram	citalopram
parecoxib	parecoxib
vadouvan	vadouvan
svādhyāya	svadhyaya
ejaculation	ejaculatie 
kemi	kemi
sarcomere	sarcomeer
pigment	pigment
phlebitis	flebitis
fulcanelli	fulcanelli
indometacin	indometacine
alkylphenol	alkylfenol
echocardiography	echocardiografie
dharmaśāstra	dharmashastra
bronchus	luchtpijpvertakking
mayor	burgemeester
choline	choline
insect	insecten
agonist	agonist 
pericardium	pericard
amphetamine	amfetamine
lung	long 
parasitism	parasitisme
phase 	fase 
oxindole	oxindool
datura	datura
antofagasta	antofagasta 
kazakhstan	kazachstan
wart	wrat
euphoria	euforie
inequality 	ongelijkheid 
funeral	uitvaart
xylometazoline	xylometazoline
veratrum	veratrum
hyphema	hyfeem
tacrolimus	tacrolimus
menopause	menopauze
shaivism	shaivisme
solution 	oplossing 
xerostomia	xerostomie
cytopathology	cytopathologie
lobectomy	lobectomie
cobalt	kobalt
lepidolite	lepidoliet
median	mediaan 
hirudin	hirudine
linuron	linuron
neptunium	neptunium
leukotriene	leukotrieen
osteichthyes	beenvisachtigen
wildfire	natuurbrand
embolism	embolie
polis	polis 
allergen	allergeen
spain	spanje
d-dimer	d-dimeer
al-andalus	al-andalus
oophorectomy	oöforectomie
dysdiadochokinesia	dysdiadochokinese
guinea-bissau	guinee-bissau
macrophage	macrofaag
eardrum	trommelvlies
deafblindness	doofblindheid
procaine	procaïne
diet 	dieet
morphogenesis	morfogenese
nucleobase	nucleobase
iloprost	iloprost
charvaka	charvaka
bronchus	luchtpijpvertakking
groundwater	grondwater
ergocalciferol	ergocalciferol
geography	aardrijkskunde
asthma	astma
statin	statine
pinocytosis	pinocytose
ushas	ushas
atrium 	atrium 
antipsychotic	antipsychotica
papaverine	papaverine
vaccine	vaccin
paralanguage	parataal
chacha 	tsjatsja
peach	perzik
cardiomyopathy	cardiomyopathie
retina	netvlies
cocaine	cocaïne
breathalyzer	blaasapparaat
vertebra	wervel 
prosopagnosia	prosopagnosie
rheumatism	reuma
mastic 	mastiek 
algebra	algebra
neoplasm	neoplasie
homocysteine	homocysteïne
sassafras	sassafras
dolasetron	dolasetron
taoism	taoïsme
acetazolamide	acetazolamide
syphilis	syfilis
bleeding	bloeding
embryo	embryo
tetrapod	viervoeters 
satay	saté
shinkansen	shinkansen
acrylonitrile	acrylonitril
heliaia	heliaia
nicotine	nicotine
encopresis	encoprese
archilochus	archilochus 
salou	salou
hyponatremia	hyponatriëmie
aeroponics	aerocultuur
endoderm	endoderm
xanthine	xanthine
estriol	oestriol
bathyscaphe	bathyscaaf
clindamycin	clindamycine
nutrient	voedingsstof
antifungal	antimycoticum
cachaça	cachaça
carbachol	carbachol
neuroscience	neurowetenschap
adult	volwassene
lymphedema	lymfoedeem
oogenesis	oögenese
endurance	uithoudingsvermogen
suffix	suffix
microvillus	microvillus
confusion	verwardheid
acne	acne
thimble	vingerhoed
endocarditis	endocarditis
cirrhosis	cirrose
eucestoda	eucestoda
theanine	theanine
ünye	ünye 
coca-cola	coca-cola
fondaparinux	fondaparinux
rotavirus	rotavirus
x-ray 	x-ray
steel	staal 
carbapenem	carbapenem
chocolate	chocolade
reflex	reflex 
almshouse	godshuis
rodent	knaagdieren
atheroma	plaque 
brahmacharya	brahmacharya
bitters	bittertje
bevacizumab	bevacizumab
alcohol 	alcohol 
infant	baby
pericardium	pericard
anuria	anurie
aristotelianism	aristotelisme
papaver	klaproos
gastrinoma	gastrinoom
inhalant	lijmsnuiven
scurvy	scheurbuik
spondyloarthropathy	spondylartropathie
phthalate	ftalaat
amlodipine	amlodipine
echo	echo 
sciacca	sciacca
injury	verwonding
meninges	hersenvliezen
myocarditis	myocarditis
imhotep	imhotep
infant	baby
tissue 	weefsel 
ritonavir	ritonavir
particulates	fijnstof
d-dimer	d-dimeer
methane	methaan
beef	rundvlees
dasatinib	dasatinib
sarcoplasm	sarcoplasma
muscovite	muscoviet
bilateria	bilateria
botswana	botswana
aorta	aorta
ibuprofen	ibuprofen
phospholipid	fosfolipide
reiki	reiki
thrombosis	trombose
ventricle 	ventrikel 
yellow	geel 
digitalis	vingerhoedskruid 
angiotensin	angiotensine
neurochip	neurochip
autolysis 	autolyse
retrovirus	retrovirussen
pericardium	pericard
valence 	valentie 
asterids	asterids
comorbidity	comorbiditeit
heredity	erfelijkheid
myosin	myosine
segesta	segesta 
melanoma	melanoom
phenothrin	fenothrine
cocktail	cocktail
mediastinoscopy	mediastinoscopie
artemis	artemis 
chloralose	alfachloralose
ligament	ligament 
artery	slagader
ireland	ierland 
penicillin	penicilline
demography	demografie
hermeticism	hermetisme
hypothermia	hypothermie
prostaglandin	prostaglandinen
half-life	halveringstijd
organ 	orgaan
acridine	acridine
self-actualization	zelfactualisering
reproducibility	reproduceerbaarheid
reptile	reptielen
parenchyma	parenchym 
vanadium	vanadium
dictyostelium	dictyostelium
thermoplastic	thermoplast
asplenia	asplenie
embolization	embolisatie
norway	noorwegen
amisulpride	amisulpride
erection	erectie
prediction	voorspelling 
mouth	mond 
vegetable	groente
samkhya	samkhya
hypothalamus	hypothalamus
boule 	boulè
cryonics	cryonisme
autopsy	autopsie
ruthenium	ruthenium
hydroxylysine	hydroxylysine
lipoprotein	lipoproteïne
fraction	breuk 
suunto	suunto
carditis	carditis
bank	bank 
labyrinthitis	labyrintitis
nortriptyline	nortriptyline
hindutva	hindoetva
pharmacodynamics	farmacodynamiek
peace	vrede
djibouti	djibouti 
trimethylamine	trimethylamine
telmisartan	telmisartan
prohibition	drooglegging 
psychosis	psychose
vacuole	vacuole
chemometrics	chemometrie
ammonia	ammoniak
schizophrenia	schizofrenie
harpagophytum	duivelsklauw
thyroglobulin	thyreoglobuline
fatigue	fatigue
hydrostatics	hydrostatica
lead	lood 
eukaryote	eukaryoten
leather	leer 
coagulation	bloedstolling
exocytosis	exocytose
scholasticism	scholastiek
exosphere	exosfeer
shock 	shock
sesame	sesam
metirosine	metirosine
needlefish	gepen
transcription 	transcriptie 
adrenochrome	adrenochroom
rationalism	rationalisme
atherosclerosis	atheromatose
meta-communication	metacommunicatie
embolism	embolie
ecclesia 	ekklèsia
endorphins	endorfine
ale	ale 
artemisia 	alsem
slivovitz	slivovitsj
london	londen
prevalence	prevalentie
raceme	tros 
constantinople	constantinopel
ataxia	ataxie
inotrope	inotropie
potassium	kalium
crank 	morosofie
histology	histologie
sonoluminescence	sonoluminescentie
bleeding	bloeding
alcoholism	alcoholisme
ulcer 	zweer
rain	regen 
poppers	poppers
salzburg	salzburg 
spironolactone	spironolacton
picrotoxin	picrotoxine
propaganda	propaganda 
procaine	procaïne
catheter	katheter
hemoptysis	bloedspuwing
guatemala	guatemala
animal	dierenrijk
genus	geslacht 
ground 	aarde 
anti-inflammatory	ontstekingsremmers
jellyfish	kwallen
consolida	ridderspoor 
pneumonia	longontsteking
platelet	bloedplaatje
mysticism	mystiek
elsevier	elsevier 
mirabegron	mirabegron
persians	perzen
orthohantavirus	hantavirus
quinazoline	chinazoline
amblygonite	amblygoniet
apsis	apside
echocardiography	echocardiografie
massage	massage
mitosis	mitose
vomiting	braken 
hemodialysis	hemodialyse
influenza	griep
defecation	defecatie
lead 	lead
erechtheion	erechtheion
utrecht	utrecht 
azathioprine	azathioprine
organ 	orgaan
period 	periode 
lipid	lipide
hydroxyproline	hydroxyproline
electroplating	elektrodepositie
budapest	boedapest
lung	long 
alsace	elzas
