apheresis	aphérèse 
tooth	dent
memory	mémoire 
morphology 	morphologie 
medicine	médecine
focusing 	focusing
daunorubicin	daunorubicine
triazolam	triazolam
ash'ari	acharisme
methamphetamine	méthamphétamine
hypnotic	hypnotique
ammonia	ammoniac
al-nasa'i	an-nasa'i
solubility	solubilité
pyrococcus	pyrococcus
cd19	cd19
tmem43	tmem43
zuclopenthixol	zuclopenthixol
antianginal	antiangoreux
oregano	origan
antidepressant	antidépresseur
uridine	uridine
athetosis	athétose
alberta	alberta
gaudapada	gaudapada
appetite	appétit
bee	abeille
orosomucoid	orosomucoïde
vishvakarma	vishvakarma
histopathology	histopathologie
exercise	fitness
pinocembrin	pinocembrine
hyperkeratosis	hyperkératose
parasitemia	parasitémie
ticlopidine	ticlopidine
ramlila	ramlila
attention	attention
mineral	minéral
schizophrenia	schizophrénie
methylphenidate	méthylphénidate
serology	sérologie
laughter	rire
eurobarometer	eurobaromètre
lymphocytosis	hyperlymphocytose
buflomedil	buflomédil
self-medication	automédication
bronchus	bronche
lymphangioleiomyomatosis	lymphangioléiomyomatose
oxazepam	oxazépam
chlamydia	chlamydiose
ordu	altınordu
diastole	diastole
bon	bön
1,10-phenanthroline	1,10-phénanthroline
phenylalanine	phénylalanine
hydrostatics	hydrostatique
lipophilicity	lipophilie
anxiolytic	anxiolytique
haridwar	haridwar
parasitism	parasitisme
oxidoreductase	oxydoréductase
ganesha	ganesh
bilateria	bilateria
electrocardiography	électrocardiographie
therapy	traitement 
isavuconazonium	isavuconazole
2-oleoylglycerol	2-oléylglycérol
syndemic	syndémie
spirometer	spiromètre
cataract	cataracte 
rhodamine	rhodamine
fibronectin	fibronectine
inequality 	inégalité 
lanthanide	lanthanide
brindisi	brindisi
ophthalmology	ophtalmologie
wheat	blé
wuhan	wuhan
stellarator	stellarator
history	histoire
antimony	antimoine
acid	acide
bivalirudin	bivalirudine
annelid	annelida
stotra	stotra
dysentery	dysenterie
land 	terre 
vein	veine
specials 	ufff0
aneurysm	anévrisme
magnetostriction	magnétostriction
nutrien	nutrien
saquinavir	saquinavir
quinoline	quinoléine
microcytosis	microcytose
tetanus	tétanos
hallucination	hallucination
hydrostatics	hydrostatique
erasmus	érasme
saskatchewan	saskatchewan
oxymorphone	oxymorphone
laparotomy	laparotomie
glycitein	glycitéine
antipsychotic	neuroleptique
cephalopod	céphalopode
rosids	rosidées
tetrandrine	tétrandrine
asepsis	asepsie
yakitori	yakitori
paracetamol	paracétamol
cod	morue
cauterization	cautérisation
delusion	délire
atrium 	atrium 
boeotia	béotie
exanthem	exanthème
atrium 	atrium 
taxifolin	taxifoline
codeine	codéine
lithiophilite	lithiophilite
6-apb	6-benzofurane
clinic	clinique
nelarabine	nélarabine
esmirtazapine	esmirtazapine
capsule 	capsule 
brca2	brca2
ultraviolet	ultraviolet
cartography	cartographie
shingles	zona
thalidomide	thalidomide
bronchitis	bronchite
phosphate	phosphate
benzocaine	benzocaïne
resonance	résonance
padua	padoue
ayurveda	ayurveda
otorhinolaryngology	otorhinolaryngologie
alfentanil	alfentanil
memantine	mémantine
transudate	transsudat
pub	pub 
heart	cœur
potassium	potassium
slug	limace
aquifer	aquifère
himbeergeist	himbeergeist
samhita	samhita
presenteeism	présentéisme
hohenheim	hohenheim 
infection	infection
xyloglucan	xyloglucane
hepatomegaly	hépatomégalie
mitogen	mitogène
alkali	alcali
ecology	écologie
stain	tache
hemodynamics	hémodynamique
barium	baryum
phenmetrazine	phenmétrazine
arachnid	arachnida
pre-adamite	préadamisme
phanagoria	phanagoria
fipronil	fipronil
stereotypy	stéréotypie 
thermogenesis	thermogenèse
kickback 	rétrocommission
poetics 	poétique 
solicitor	solliciteur
ribose	ribose
chop 	chop 
arylcyclohexylamine	arylcyclohexylamine
mathematics	mathématiques
cortisone	cortisone
leaf	feuille
therapy	traitement 
inflammation	inflammation
mdma	mdma
genereviews	genereviews
pathology	pathologie
monomethylhydrazine	méthylhydrazine
wood	bois
stata	stata
filicudi	filicudi
encephalopathy	encéphalopathie
vishu	vishu
nobelium	nobélium
plumbing	plomberie
bezafibrate	bézafibrate
carcinoma	carcinome
neglect	négligence 
hepatoblastoma	hépatoblastome
diuresis	diurèse
tert-butyllithium	tert-butyllithium
asthma	asthme
phylogenetics	phylogénie
oxybutynin	oxybutynine
peptide	peptide
butyrylcholinesterase	butyrylcholinestérase
asia	asie
kartikeya	kârttikeya
hydrogen	hydrogène
rainbow	arc-en-ciel
alcohol 	alcool 
meloxicam	méloxicam
hypovolemia	hypovolémie
fatigue	fatigue 
kent	kent
basiluzzo	basiluzzo
clevidipine	clévidipine
snoring	ronflement
astereognosis	astéréognosie
hyperlipidemia	hyperlipémie
oricum	oricum
rimantadine	rimantadine
racecadotril	racécadotril
dihydrotestosterone	androstanolone
submarine	sous-marin
inaturalist	inaturalist
troponin	troponine
mammal	mammifère
cholesterol	cholestérol
barotrauma	barotraumatisme
organomegaly	organomégalie
cryoglobulinemia	cryoglobulinémie
pandemic	pandémie
advocacy	plaidoyer 
tolbutamide	tolbutamide
conjunctiva	conjonctive
mediastinum	médiastin
supersaturation	sursaturation
skutterudite	skuttérudite
ouabain	ouabaïne
toxicity	toxicité
phenobarbital	phénobarbital
aromaticity	aromaticité
fludrocortisone	fludrocortisone
thermodynamics	thermodynamique
cerberus	cerbère
ketoprofen	kétoprofène
medlineplus	medlineplus
atrium 	atrium 
overtraining	surentraînement
plasmin	plasmine
welding	soudage
kinetoplast	kinétoplaste
almond	amandier
clomifene	clomifène
sensorium	sensorium
nirukta	nirukta
electrocardiography	électrocardiographie
hospital	hôpital
laüs	laos 
lesion	lésion 
refrigeration	réfrigération
gram	gramme
debye	debye 
electronegativity	électronégativité
thalamus	thalamus
cerebellum	cervelet
rhetoric 	rhétorique 
brine	saumure
taormina	taormine
budipine	budipine
citicoline	cytidine-diphosphate-choline
echocardiography	échocardiographie
propranolol	propranolol
defensin	défensine
pharmacotherapy	pharmacothérapie
lipocalin	lipocaline
glaucoma	glaucome
5-bromo-dmt	5-bromo-dmt
macaronesia	macaronésie
marjoram	marjolaine
chon	chnops
productivity	productivité
belimumab	belimumab
acronym	acronymie
dipsomania	dipsomanie
kyotorphin	kyotorphine
pasteurization	pasteurisation
vasishtha	vasishtha
retinoid	rétinoïde
amygdalin	amygdaline
sodium	sodium
ligand	ligand 
tyrosine	tyrosine
cinchona	cinchona
liqueur	liqueur
orthomyxoviridae	orthomyxoviridae
architecture	architecture
neuroanatomy	neuroanatomie
pisco	pisco
noscapine	noscapine
education	éducation
retrovirus	retroviridae
pramana	pramana
ovulation	ovulation
pharmacodynamics	pharmacodynamique
electromagnetism	électromagnétisme
subspecies	sous-espèce
contrast 	contraste
hydrogenation	hydrogénation
pentylenetetrazol	pentylènetétrazole
tiapride	tiapride
cephalohematoma	céphalhématome
decoction	décoction
mannitol	mannitol
echocardiography	échocardiographie
qazvin	qazvin
cannabis	cannabis
recursion	récursivité
aromatase	aromatase
vasopressin	vasopressine
antahkarana	antahkarana
sewerage	égout
sulcus 	sillon 
hypocalcemia	hypocalcémie
calculator	calculatrice
athlete	sportif
dermatitis	dermatite
pentamidine	pentamidine
titin	titine 
aldehyde	aldéhyde
willow	saule
skull	crâne
percussion 	percussion 
corynebacterium	corynebacterium
gerontology	gérontologie
tick	tique
scn1a	scn1a
asbestosis	asbestose
auscultation	auscultation
granite	granite
semarang	semarang
budesonide/formoterol	symbicort
lysophosphatidylcholine	lysophosphatidylcholine
clarithromycin	clarithromycine
lung	poumon
sarcomere	sarcomère
universe	univers
pathophysiology	physiopathologie
humidity	hygrométrie
nutrient	nutriment
microtubule	microtubule
monomer	monomère
dendrotoxin	dendrotoxine
thiamphenicol	thiamphénicol
demography	démographie
calcium	calcium
zolpidem	zolpidem
enteritis	entérite
stimulant	stimulant
allergy	allergie
polyelectrolyte	polyélectrolyte
quackery	charlatanisme
cancer	cancer
homeostasis	homéostasie
standardbred	standardbred
laryngitis	laryngite
work 	travail
enoximone	énoximone
therapy 	therapy
thiol	thiol
hypnotherapy	hypnothérapie
verapamil	vérapamil
mescaline	mescaline
infarction	infarctus
thiazepine	thiazépine
mass	masse
nerium	laurier-rose
felodipine	félodipine
mylan	mylan
dysosmia	dysosmie
aeolis	éolide
risk	risque
judeo-christian	judéo-chrétien
lepidolite	lépidolite
cardiology 	cardiology
mydriasis	mydriase
tryptamine	tryptamine
conscientiousness	conscienciosité
nauka 	nauka 
monochord	monocorde
folkestone	folkestone
apocynaceae	apocynaceae
laurium	lávrio
pericardium	péricarde
isoconazole	isoconazole
keshanta	keshanta
chudakarana	chudakarana
levocardia	lévocardie
superphénix	superphénix
bradycardia	bradycardie
optometry	optométrie
cannabinoid	cannabinoïde
acrylonitrile	acrylonitrile
bleeding	hémorragie
scrotum	scrotum
cyanoacetylene	cyanoéthyne
cardiomyopathy	cardiomyopathie
uganda	ouganda
myalgia	myalgie
maculopathy	maculopathie
facebook	facebook
valmiki	vâlmîki
cytoskeleton	cytosquelette
chemspider	chemspider
generation	génération 
agonist	agoniste 
phrenology	phrénologie
cauterization	cautérisation
trail	trail
actavis	actavis
mucus	mucus
asthma	asthme
blastocyst	blastocyste
lactoferrin	lactoferrine
forest	forêt
bioelectromagnetics	bioélectromagnétisme
arginase	arginase
caesar 	césar 
herpesviridae	herpesviridae
diatom	bacillariophyta
plitidepsin	plitidepsine
adenoviridae	adenoviridae
aerobics	aérobic
helium	hélium
dance	danse
mesothelioma	mésothéliome
containerization	conteneurisation
micafungin	micafungine
micrographia	micrographia
procaine	procaïne
arachnid	arachnida
neoplasm	néoplasie
dermatology	dermatologie
nabiximols	nabiximols
pseudohypoaldosteronism	pseudohypoaldostéronisme
salpingitis	salpingite
l-dopa	dopa
anticoagulant	anticoagulant
spermatid	spermatide
lymphadenopathy	adénopathie
epidermis	épiderme 
polytetrafluoroethylene	polytétrafluoroéthylène
α-carotene	alpha-carotène
sprain	entorse 
electrocardiography	électrocardiographie
hydrosilylation	hydrosilylation
cymbopogon	cymbopogon
conjunctivitis	conjonctivite
ubiquitin	ubiquitine
cumberland	cumberland 
turtle	tortue
juice	jus
spleen	rate
edema	œdème
crackles	crépitant
nectar	nectar 
thioester	thioester
propynylidyne	propynylidyne
palpitations	palpitation
clonidine	clonidine
disease	maladie
rembrandt	rembrandt
brachiopod	brachiopoda
organ 	organe
amygdalin	amygdaline
heuristic	heuristique
azelastine	azélastine
bromochlorodifluoromethane	bromochlorodifluorométhane
drink	boisson
babylonia	babylone 
praxiteles	praxitèle
medicine	médecine
ficlatuzumab	ficlatuzumab
pipamperone	pipampérone
chelation	chélation
atrium 	atrium 
econazole	éconazole
merit-ptah	méryt-ptah 
madhyamaka	madhyamaka
triboluminescence	triboluminescence
tachycardia	tachycardie
granuloma	granulome
lysis	lyse 
chloride	chlorure
lithotripsy	lithotripsie
kalam	kalâm
cardiomegaly	cardiomégalie
desmoglein-2	dsg2
chlorpromazine	chlorpromazine
protease	peptidase
siltuximab	siltuximab
daunorubicin	daunorubicine
phenylhydrazine	phénylhydrazine
dulaglutide	dulaglutide
carp	carpe 
biperiden	bipéridène
hertz	hertz
cough	toux
olaparib	olaparib
cyanosis	cyanose
rifampicin	rifampicine
vermouth	vermouth
ruminant	rumination 
prostacyclin	prostacycline
neurotransmitter	neurotransmetteur
laxative	laxatif
volleyball	volley-ball
rigveda	rig-véda
berbere	bérbéré
leiden	leyde
cinanserin	cinansérine
ocrelizumab	ocrélizumab
gynura	gynura
saltigue	saltigué
methylglyoxal	méthylglyoxal
bronchiolitis	bronchiolite
greece	grèce
bortezomib	bortézomib
thrombolysis	thrombolyse
indometacin	indométacine
2-arachidonoylglycerol	2-arachidonylglycérol
complication 	complication 
concentration	concentration 
sydney	sydney
argon	argon
dominance 	dominance 
acetylcholine	acétylcholine
glycolonitrile	glycolonitrile
picrotoxin	picrotoxine
dysmenorrhea	dysménorrhée
electronegativity	électronégativité
monocyte	monocyte
atherosclerosis	athérosclérose
trimix 	trimix
lung	poumon
anorectic	anorexigène
rubella	rubéole
immunoprecipitation	immunoprécipitation
aconitum	aconitum
spermatocyte	spermatocyte
tramadol	tramadol
spinel	spinelle
heredity	hérédité
lightning	foudre
tryptophan	tryptophane
deviance 	déviance
dosha	dosha
indometacin	indométacine
hemodialysis	hémodialyse
annelid	annelida
motility	motilité
al-farabi	al-fârâbî
solvation	solvatation
alchemy	alchimie
barotrauma	barotraumatisme
cpr-1000	cpr-1000
sofosbuvir	sofosbuvir
myocarditis	myocardite
acetone	acétone
feedback	rétroaction
civitas	civitas
hydrostatics	hydrostatique
flucloxacillin	flucloxacilline
callus	cal 
dhanvantari	dhanvantari
columbo	columbo
asclepeion	asclépiéion
convalescence	convalescence
benzbromarone	benzbromarone
child	enfant
precession	précession
virus	virus
pus	pus
kapalika	kapalika
halocline	halocline
bimaristan	bimaristan
levobupivacaine	lévobupivacaïne
mechanoreceptor	mécanorécepteur
orange 	orange 
pharmacokinetics	pharmacocinétique
creatinine	créatinine
hemoglobin	hémoglobine
3,4-methylenedioxyamphetamine	3,4-méthylènedioxyamphétamine
barbad	barbod
aspartame	aspartame
shiksha	shiksha
gliclazide	gliclazide
cholangiocarcinoma	cholangiocarcinome
poaching	braconnage
afro-asians	afro-asiatique
electronvolt	électronvolt
stretching	étirement
bacillus	bacillus
testicle	testicule
porosity	porosité
siderosis	sidérose 
satay	sate
loganiaceae	loganiaceae
kali	kali
heart 	heart 
arteriole	artériole
obesity	obésité
abdomen	abdomen
chersonesus	chersonèse 
pseudoscience	pseudoscience
deoxyribonucleotide	désoxyribonucléotide
epithelium	épithélium
lubiprostone	lubiprostone
hyperpigmentation	hyperpigmentation
semiconductor	semi-conducteur
lyssavirus	lyssavirus
miosis	myosis
pastis	pastis
ftsz	ftsz
ummah	oumma
legionella	legionella
weeze	weeze
jing 	jing 
homeostasis	homéostasie
tendon	tendon
enteroglucagon	entéroglucagon
prion	prion 
trastuzumab	trastuzumab
myosin	myosine
hashish	haschich
chromosome	chromosome
enasidenib	énasidénib
pericardium	péricarde
coevolution	coévolution
sphygmomanometer	tensiomètre
onchocerciasis	onchocercose
phase 	phase 
star	étoile
enterocolitis	entérocolite
actin	actine
brisbane	brisbane
neuropil	neuropile
panyassis	panyasis
sievert	sievert
bronchoscopy	bronchoscopie
cyproheptadine	cyproheptadine
torr	torr
dimer 	dimère
diastole	diastole
kemi	kemi
opiate	opiacé
endocrinology	endocrinologie
appendicitis	appendicite
perspiration	sueur
darmstadtium	darmstadtium
supernova	supernova
tulsidas	tulsîdâs
periostitis	périostite
pediatrics	pédiatrie
hippocras	hypocras
calcitriol	calcitriol
qiyas	qiyâs
odor	odeur
scn5a	scn5a
sacrum	sacrum
michelada	michelada
stoicism	stoïcisme
swimfin	palme 
alicudi	alicudi
xenoestrogen	xénoestrogène
fatigue	fatigue 
influenza	grippe
quebec	québec
epidermis	épiderme 
flavonoid	flavonoïde
pancytopenia	pancytopénie
carnitine	carnitine
pindar	pindare
stertor	stertor
butoconazole	butoconazole
cholesterol	cholestérol
sepsis	sepsis
oligomenorrhea	oligoménorrhée
lung	poumon
formulation	formulation
agility	agilité
asphyxia	asphyxie
civitas 	civitas 
tupuxuara	tupuxuara
teratology	tératologie
pons	pont 
dysphagia	dysphagie
steroid	stéroïde
aripiprazole	aripiprazole
inotrope	inotropisme
penfluridol	penfluridol
pseudomonadota	proteobacteria
methoxyethane	méthoxyéthane
haematopoiesis	hématopoïèse
histoplasmosis	histoplasmose
sacubitril/valsartan	valsartan
kif5a	kif5a
fibula	fibula
paraquat	paraquat
prednisone	prednisone
glipizide	glipizide
dicycloverine	dicyclovérine
soap	savon
cd3 	cd3
cyclopropane	cyclopropane
alimemazine	alimémazine
hassium	hassium
philippeion	philippéion
rudra	rudra
mitoxantrone	mitoxantrone
smoking	fumer
mercaptopurine	mercaptopurine
percentile	centile
convallatoxin	convallatoxine
benzylpiperazine	benzylpipérazine
hydrazide	hydrazide
azacitidine	azacitidine
tensor	tenseur
hecate	hécate
geriatrics	gériatrie
holism	holisme
stimulant	stimulant
oenanthotoxin	énanthotoxine
edema	œdème
coffee	café
rump 	croupe
ether	éther-oxyde
antioxidant	antioxydant
hemoglobin	hémoglobine
seminoma	séminome
infant	nourrisson
menopause	ménopause
adolescence	adolescence
pterion	ptérion
whistle	sifflet
oxide	oxyde
runx1	runx1
genetics	génétique
rickettsia	rickettsia
powder	poudre
harmaline	harmaline
amyloidosis	amylose 
empyema	empyème
england	angleterre
radha	radha
captodiame	captodiame
proteinopathy	protéinopathie
edema	œdème
elf	elfe
reptile	reptile
twin	jumeau
ureterostomy	urétérostomie
calgary	calgary
micrograph	photomicrographie
cypermethrin	cyperméthrine
doxycycline	doxycycline
diacetylene	butadiyne
vesicle 	vésicule 
echinocandin	échinocandine
surdas	surdas
angiography	angiographie
terina 	terina
akrai	akrai
cholecystokinin	cholécystokinine
gynaecology	gynécologie
asterixis	astérixis
poneratoxin	ponératoxine
peramivir	peramivir
xpo1	xpo1
nf-κb	nf-κb
al-zamakhshari	al-zamakhshari
benzophenone	benzophénone
glycosuria	glycosurie
thioxoethenylidene	thioxoéthénylidène
teplizumab	teplizumab
curette	curette
otitis	otite
bradykinin	bradykinine
ritual	rites
desmosome	desmosome
salt 	sel 
daidzein	daidzéine
copperbelt	copperbelt
drama 	drame 
immigration	immigration
agonist	agoniste 
aesop	ésope
myocarditis	myocardite
brahma	brahmā
kif5b	kif5b
4-fluoromethamphetamine	4-fluorométhamphétamine
dromotropic	dromotrope
encephalopathy	encéphalopathie
passivation 	passivation
potassium	potassium
gout	goutte 
ahamkara	ahamkara
cancer	cancer
tspan12	tspn12
bioavailability	biodisponibilité 
polymer	polymère
jupiter 	jupiter 
elliptocyte	ovalocyte
yohimbine	yohimbine
trichloroethylene	trichloréthylène
docetaxel	docétaxel
nitrendipine	nitrendipine
libido	libido 
calibration	étalonnage 
penicillamine	pénicillamine
dexchlorpheniramine	dexchlorphéniramine
methamidophos	méthamidophos
mīmāṃsā	mimamsa
carbapenem	carbapénème
balanitis	balanite
iatrogenesis	iatrogénèse
phenanthridine	phénanthridine
abscess	abcès
urology	urologie
myosin	myosine
tyras	tyras
sternum	sternum
oxomemazine	oxomémazine
drosophila	drosophile
graph 	graphe 
vasodilation	vasodilatateur
aponeurosis	aponévrose
paestum	paestum
dalit	intouchables 
dysmenorrhea	dysménorrhée
septoplasty	septoplastie
2c-p	2c-p
mosaic	mosaïque
vasodilation	vasodilatateur
tsikoudia	tsikoudiá
ichthyosis	ichtyose
ropivacaine	ropivacaïne
phosphorylation	phosphorylation
disease	maladie
telehealth	télémédecine
cathinone	cathinone
fibrate	fibrate
hydrocodone/ibuprofen	vicoprofen
bronchus	bronche
hemp	chanvre
cetacea	cetacea
guinea-bissau	guinée-bissau
cryotherapy	cryothérapie
triadin	triadine
norethisterone	noréthistérone
gums	gencive
mepacrine	quinacrine
polygenism	polygénisme
datura	datura
xamoterol	xamotérol
pyrene	pyrène 
melanin	mélanine
mydriasis	mydriase
adelaide	adélaïde 
isopropylphenidate	isopropylphénidate
alogliptin	alogliptine
balochistan	baloutchistan
pigment	pigment
sagunto	sagonte
tachycardia	tachycardie
immunodeficiency	immunodéficience
meddra	meddra
siemens 	siemens 
langley 	langley 
wikiversity	wikiversité
surfactant	tensioactif
ovary	ovaire
cephalosporin	céphalosporine
aquifer	aquifère
trismus	trismus 
ctenophora	ctenophora
palladium	palladium
reflex	réflexe
pseudocode	pseudo-code
fibrocyte	fibrocyte
paresthesia	paresthésie
capecitabine	capécitabine
neomycin	néomycine
romania	roumanie
jewellery	joaillerie
spironolactone	spironolactone
dimemebfe	dimemebfe
antibiotic	antibiotique
vasoconstriction	vasoconstriction
cilostazol	cilostazol
statistic	statistique 
recklessness 	insouciance 
tonne	tonne
digitalis	digitale
colorimeter 	colorimètre
graphene	graphène
menopause	ménopause
chebi	chebi
blepharospasm	blépharospasme
aggression	agression
comorbidity	comorbidité
ovoviviparity	ovoviviparité
applejack 	applejack
obinutuzumab	obinutuzumab
heart	cœur
percentage	pourcentage
antihistamine	antihistaminique
hypokalemia	hypokaliémie
sprint 	sprint 
immunology	immunologie
naxos 	naxos 
citrus	citrus
bacillota	firmicutes
diuretic	diurétique
zechstein	zechstein
sarcomere	sarcomère
roentgen 	röntgen
pharynx	pharynx
grappa	grappa
hypercholesterolemia	hypercholestérolémie
pharmacovigilance	pharmacovigilance
systole	systole
lipopolysaccharide	lipopolysaccharide
glycoside	hétéroside
retinopathy	rétinopathie
folliculogenesis	folliculogénèse
geography	géographie
currency	devise 
acidosis	acidose
fuzuli 	fuzûlî
proteolysis	protéolyse
bosentan	bosentan
harissa	harissa
colitis	colite
lipid	lipide
hyponatremia	hyponatrémie
streptomyces	streptomyces
bacteria	bactérie
miconazole	miconazole
bureaucracy	bureaucratie
milrinone	milrinone
khwarazm	khwarezm
3-iodothyronamine	3-iodothyronamine
ethosuximide	éthosuximide
conotoxin	conotoxine
efficiency 	efficacité 
rutherfordium	rutherfordium
batoidea	raie
artephius	artéphius
evinacumab	evinacumab
pharyngitis	pharyngite
arabization	arabisation
hepatomegaly	hépatomégalie
philopatry	philopatrie
korn 	korn 
histone	histone
hylomorphism	hylémorphisme
virus	virus
hypercalcaemia	hypercalcémie
coca-cola	coca-cola
gland	glande
phragmoplast	phragmoplaste
treprostinil	tréprostinil
epaminondas	épaminondas
radionuclide	radioisotope
authority	autorité
bronchiole	bronchiole
ultracentrifuge	ultracentrifugeuse
linezolid	linézolide
poliovirus	poliovirus
selenium	sélénium
vejovis	vejove
quarantine	quarantaine
casabona	casabona 
nifurtimox	nifurtimox
sita	sītā
cochrane 	cochrane 
pilgrim	pèlerin
flushing 	rougissement 
abiward	abiverd
asclepeion	asclépiéion
neoplasm	néoplasie
rauvolfia	rauvolfia
asparagaceae	asparagaceae
orthopnea	orthopnée
autopsy	autopsie
kwashiorkor	kwashiorkor
chlamydia	chlamydiose
paper	papier
hyperglycemia	hyperglycémie
algorithm	algorithme
yaws	pian 
mucus	mucus
arithmetic	arithmétique
horace	horace
dam	barrage
hospice 	hospice 
avempace	avempace
erythropoietin	érythropoïétine
galactoside	galactoside
anticoagulant	anticoagulant
titration	titrage
canagliflozin	canagliflozine
cryolite	cryolite
myofibril	myofibrille
pheochromocytoma	phéochromocytome
oxygen	oxygène
salzburg	salzbourg
allopurinol	allopurinol
hcn4	hcn4
infestation	infestation 
benfluorex	benfluorex
glycerol	glycérol
thallium	thallium
atlas 	atlas 
prazosin	prazosine
jwh-018	jwh-018
well-being	bien-être
atherosclerosis	athérosclérose
amphibian	amphibia
pitsunda	pitsounda
endocardium	endocarde
xanthine	xanthine
leptospirosis	leptospirose
sugilite	sugilite
tincture	alcoolature
tetraodontidae	poisson-globe
alkalosis	alcalose
natriuresis	natriurèse
herg	herg
antibiotic	antibiotique
gossypol	gossypol
paranormal	paranormal
minneapolis	minneapolis
endocarditis	endocardite
rice	riz
grog	grog
anagrelide	anagrélide
tannin	tanin
sulfadiazine	sulfadiazine
tax	impôt
shaivism	shivaïsme
constantinople	constantinople
nightmare	cauchemar
carbamazepine	carbamazépine
cocktail	cocktail
ionophore	ionophore
hebei	hebei
andrology	andrologie
ximelagatran	ximélagatran
profilin	profiline
hfe 	hfe 
thtr-300	thtr-300
jurisdiction	compétence 
sighthound	lévrier
za'atar	zaatar
osmosis	osmose
allergy	allergie
thiazolidinedione	thiazolidinedione
truth	vérité
ciprofloxacin	ciprofloxacine
oxiconazole	oxiconazole
pycnodysostosis	pycnodysostose
wollastonite	wollastonite
cameroon	cameroun
thesis	thèse
al-a'sha	al-aʿšā
nutrient	nutriment
2c-d	2c-d
rodent	rodentia
ctenophora	ctenophora
photoconductivity	photoconductivité
sacubitril/valsartan	valsartan
microwave	micro-onde
schnapps	schnaps
animal	animal
cestoda	cestoda
neptunium	neptunium
padua	padoue
tioconazole	tioconazole
carcinogen	cancérogène
pathophysiology	physiopathologie
self-diagnosis	auto-diagnostic
xenotransplantation	xénogreffe
archaeology	archéologie
immortality	immortalité
hand	main
lung	poumon
agriculture	agriculture
frog	anoures
hydroxyproline	hydroxyproline
siphon	siphon 
epilepsy	épilepsie
endothelium	endothélium
elbow	coude
mesenchyme	mésenchyme
flight	vol 
epithelium	épithélium
watch	montre 
metastasis	métastase 
lucan	lucain
sucralose	sucralose
atelectasis	atélectasie
fluoroscopy	fluoroscopie
osteoclast	ostéoclaste
lecce	lecce
mitochondrion	mitochondrie
stamen	étamine
cataract	cataracte 
etonogestrel	etonogestrel
silicosis	silicose
cytotoxicity	cytotoxicité
mucin	mucine
dysthymia	dysthymie
trandolapril	trandolapril
dog	chien
enterobacteriaceae	enterobacteriaceae
marzipan	massepain
monocyte	monocyte
miglitol	miglitol
jejunum	jéjunum
methylhexanamine	méthylhexanamine
phalanx	phalange 
prostaglandin	prostaglandine
hermetica	hermetica
her2/neu	her2
meninges	méninges
sadhguru	sadhguru
addiction	addiction
cough	toux
phosphine	phosphine
apnea	apnée
remscheid	remscheid
achourya	asteya
abortion	avortement
woodcut	xylographie
podalirius	podalire
defibrillation	défibrillation
neoplasm	néoplasie
medicine	médecine
taboo	tabou
crocodilia	crocodilia
pascal 	pascal 
cream	crème 
prohormone	prohormone
tranquilandia	tranquilandia
tamarind	tamarinier
hypertriglyceridemia	hypertriglycéridémie
corynebacterium	corynebacterium
mimesis	mimèsis
splenomegaly	splénomégalie
epibatidine	épibatidine
pushan	pushan
medicine	médecine
maryland	maryland
combitube	combitube
upanishads	upanishad
beta-carboline	β-carboline
osteoporosis	ostéoporose
epistemology	épistémologie
bibliotherapy	bibliothérapie
onychomycosis	onychomycose
electrocardiography	électrocardiographie
piracetam	piracétam
parthenon	parthénon
mongols	mongols
stupor	stupeur
pueraria	pueraria
coagulase	coagulase
anasarca	anasarque
syndrome	syndrome
narcotic	narcotique
thermoplastic	thermoplastique
antidote	antidote
rickets	rachitisme
trachoma	trachome
massage	massage
receptor 	récepteur 
caecilian	gymnophiona
histiocyte	histiocyte
kriging	krigeage
ramucirumab	ramucirumab
crocodile	crocodile
penhaligon's	penhaligon's
sulbutiamine	sulbutiamine
abstinence	abstinence
cannula	canule
diazoxide	diazoxide
algorithm	algorithme
spirometry	spirométrie
semustine	sémustine
transaminase	transaminase
aztecs	aztèques
feldspar	feldspath
anemia	anémie
kos	kos 
tremor	tremblement
persians	persans
cyanosis	cyanose
granulocyte	granulocyte
reticulocyte	réticulocyte
strasbourg	strasbourg
cetirizine	cétirizine
boiling	ébullition
hypercholesterolemia	hypercholestérolémie
nitrosamine	nitrosamine
bronchus	bronche
bundahishn	bundahishn
fluphenazine	fluphénazine
secretoneurin	secrétoneurine
montevideo	montevideo
leukemia	leucémie
stomach	estomac
fasciolosis	fasciolose
hemolysis	hémolyse
ultraviolet	ultraviolet
armagnac	armagnac 
electrogastrogram	électrogastrographie
cyanopolyyne	cyanopolyyne
formaldehyde	méthanal
gynura	gynura
hookah	narguilé
diastereomer	diastéréoisomérie
halal	halal
carvedilol	carvédilol
electrolyte	électrolyte
litre	litre
quadrupedalism	quadrupédie
drop 	goutte 
motility	motilité
pneumothorax	pneumothorax
radiosurgery	radiochirurgie
cultivar	cultivar
angle	angle
tyrannosaurus	tyrannosaurus
centrosome	centrosome
hirudin	hirudine
botany	botanique
hermetica	hermetica
sun	soleil
chills	frissonnement
metandienone	méthandrosténolone
scorpion	scorpiones
kinesiology	kinésiologie
hydrometallurgy	hydrométallurgie
adinazolam	adinazolam
ketoacidosis	acidocétose
potentiator	potentialisateur
sukhumi	soukhoumi
determinism	déterminisme
sardinia	sardaigne
dobermann	dobermann
cryoprecipitate	cryoprécipité
esophagus	œsophage
